"etape","long","court","option"
4,"CITADELLE","CTD",
4,"COLLEGE","COLL",
4,"COLONIE","COLO",
4,"COMITE","CTE",
4,"COMMERCIAL","CIAL",
4,"COMMUNA(L|UX)","COM",
4,"COMPAGNIE","CIE",
4,"COMPAGNON(S|)","COMP",
4,"COOPERATIVE","COOP",
4,"COURSE SPECIALE","CS @",
4,"CROIX","CRX",
4,"DELEGATION","DELEG",
4,"DEPARTEMENTA(L|UX)","DEP",
4,"DIVISION","DIV",
4,"ECONOMI(E|QUE)","ECO",
4,"ECRIVAIN(S|)","ECRIV",
4,"ENSEIGNEMENT","ENST",
4,"ENSEMBLE","ENS",
4,"ENTREE(S|)","ENT",
4,"ENTREPRISE","ENTR",
4,"EPOU(SE|X)","EP",
4,"ETABLISSEMENT(S|)","ETS",
4,"ETAGE","ETG",
4,"ETAT MAJOR","EM @",
4,"FACULTE","FAC",
4,"FORE(STIER|T)","FOR",
4,"FRANCAIS(E|)","FR",
4,"GENDARMERIE","GEND",
4,"GOUVERNE(MENTAL|UR)","GOUV",
4,"GRANDES","GDES",
4,"GRANDS","GDS",
4,"GRANDE","GDE",
4,"GRAND","GD",
4,"HAUTES","HTES",
4,"HAUTS","HTS",
4,"HAUTE","HTE",
4,"HAUT","HT",
4,"HOPITA(L|UX)","HOP",
4,"HOSPI(CE|TALIER)","HOSP",
4,"HOTEL","HOT",
4,"INFANTERIE","INFANT",
4,"INFERIEUR(E|)","INF",
4,"INSTITUT","INST",
4,"INTERNATIONAL(E|)","INTERN",
4,"LABORATOIRE","LABO",
2,"MADAME","MME",
2,"MADEMOISELLE","MLLE",
4,"MAGASIN","MAG",
4,"MAISON","MAIS",
4,"MARITIME","MAR",
-4.0,"MARTYR(S|)","MYR",
4,"MEDICAL","MED",
4,"MESDAMES","MMES",
4,"MESDEMOISELLES","MLLES",
4,"MESSIEURS","MM",
4,"MILITAIRE","MIL",
4,"MINISTERE","MIN",
4,"MONSIEUR","M",
4,"MUNICIPAL","MUN",
4,"MUTUEL","MUT",
4,"NATIONAL","NAL",
4,"NOUVE(AU|LLE)","NOUV",
4,"OBSERVATOIRE","OBS",
4,"PETIT","PT",
4,"PETITE","PTE",
4.0,"PETITES","PTE",
4,"PETITES","PTES",
4.0,"PETITS","PT",
4,"PETITS","PTS",
4,"POLICE","POL",
4,"PREFECTURE","PREF",
4,"PROFESSIONNEL(LE|)","PROF",
0,"PROLONGE(E|)","PROL",
4,"PROPRIETE","PROP",
4,"QUATER","Q",
